Visit_ID,Store_ID,Visit_Date,Visitor_Count
V0168,S010,2024-02-06,264
V0169,S009,2024-02-01,96
V0170,S002,2024-01-17,125
V0171,S002,2024-06-22,182
V0172,S007,2024-04-03,246
V0173,S009,2024-06-28,187
V0174,S004,2024-01-07,177
V0175,S002,2024-01-24,295
V0176,S006,2024-03-14,234
V0177,S007,2024-04-10,271
V0178,S002,2024-03-11,183
V0179,S003,2024-04-10,209
V0180,S004,2024-05-17,61
V0181,S006,2024-03-05,161
V0182,S002,2024-04-25,91
V0183,S007,2024-07-18,241
V0184,S005,2024-01-23,201
V0185,S005,2024-03-19,207
V0186,S002,2024-07-08,258
V0187,S001,2024-03-18,275
V0188,S008,2024-06-11,71
V0189,S002,2024-07-17,118
V0190,S007,2024-02-07,118
V0191,S006,2024-03-25,256
V0192,S009,2024-07-09,52
V0193,S002,2024-01-05,280
V0194,S010,2024-01-14,244
V0195,S009,2024-03-13,276
V0196,S007,2024-07-06,156
V0197,S008,2024-01-14,239
V0198,S005,2024-04-21,121
V0199,S003,2024-03-24,214
V0200,S004,2024-01-18,114
V0201,S003,2024-04-21,246
V0202,S005,2024-06-13,65
V0203,S009,2024-07-17,269
V0204,S008,2024-03-04,248
V0205,S007,2024-04-01,269
V0206,S009,2024-01-16,249
V0207,S007,2024-02-29,74
V0208,S009,2024-07-04,224
V0209,S004,2024-06-06,280
V0210,S001,2024-05-24,159
V0211,S008,2024-04-14,192
V0212,S008,2024-05-28,91
V0213,S001,2024-02-16,150
V0214,S006,2024-04-07,273
V0215,S001,2024-01-17,266
V0216,S005,2024-07-04,281
V0217,S005,2024-01-12,219
V0218,S004,2024-06-27,245
V0219,S002,2024-01-31,54
V0220,S003,2024-07-12,190
V0221,S002,2024-04-18,218
V0222,S005,2024-01-09,270
V0223,S004,2024-03-23,52
V0224,S005,2024-03-24,148
V0225,S003,2024-03-19,83
V0226,S005,2024-04-18,290
V0227,S004,2024-03-17,267
V0228,S006,2024-01-27,91
V0229,S009,2024-07-13,180
V0230,S009,2024-01-04,117
V0231,S009,2024-06-21,206
V0232,S003,2024-06-14,106
V0233,S005,2024-05-14,223
V0234,S003,2024-01-23,115
V0235,S010,2024-01-23,251
V0236,S003,2024-06-14,197
V0237,S007,2024-02-20,287
V0238,S002,2024-02-23,107
V0239,S001,2024-04-24,204
V0240,S003,2024-02-14,176
V0241,S005,2024-04-28,290
V0242,S008,2024-01-16,218
V0243,S010,2024-01-10,174
V0244,S003,2024-02-15,59
V0245,S002,2024-05-02,143
V0246,S004,2024-05-01,166
V0247,S006,2024-01-07,66
V0248,S007,2024-06-22,122
V0249,S003,2024-06-20,200
V0250,S006,2024-04-17,63
V0251,S008,2024-02-02,202
V0252,S008,2024-05-27,215
V0253,S005,2024-01-23,230
V0254,S004,2024-02-18,299
V0255,S009,2024-05-22,282
V0256,S005,2024-06-20,151
V0257,S007,2024-04-25,200
V0258,S005,2024-04-12,59
V0259,S001,2024-05-06,140
V0260,S004,2024-02-12,172
V0261,S001,2024-07-18,125
V0262,S009,2024-03-19,166
V0263,S008,2024-04-07,100
V0264,S001,2024-02-21,249
V0265,S009,2024-01-23,221
V0266,S001,2024-05-30,155
V0267,S007,2024-06-11,233
V0268,S006,2024-01-25,131
V0269,S009,2024-06-04,274
V0270,S009,2024-06-01,170
V0271,S002,2024-05-17,62
V0272,S008,2024-01-17,290
V0273,S005,2024-04-18,262
V0274,S010,2024-06-06,256
V0275,S010,2024-04-30,115
V0276,S004,2024-03-18,256
V0277,S005,2024-05-08,160
V0278,S009,2024-02-16,162
V0279,S009,2024-01-01,119
V0280,S009,2024-03-03,63
V0281,S003,2024-06-26,272
V0282,S002,2024-02-19,95
V0283,S004,2024-06-11,99
V0284,S002,2024-03-22,206
V0285,S004,2024-03-01,246
V0286,S001,2024-06-02,261
V0287,S001,2024-02-18,70
V0288,S009,2024-06-02,261
V0289,S009,2024-07-09,274
V0290,S007,2024-04-08,122
V0291,S001,2024-05-15,229
V0292,S002,2024-04-25,118
V0293,S005,2024-07-05,82
V0294,S001,2024-03-03,106
V0295,S003,2024-06-01,253
V0296,S005,2024-01-16,166
V0297,S009,2024-06-01,139
V0298,S010,2024-04-01,299
V0299,S005,2024-01-11,190
V0300,S008,2024-06-27,72
V0301,S007,2024-03-30,115
V0302,S006,2024-01-19,299
V0303,S005,2024-06-25,141
V0304,S008,2024-05-29,285
V0305,S005,2024-05-21,159
V0306,S003,2024-04-04,76
V0307,S006,2024-03-23,51
V0308,S002,2024-06-28,188
V0309,S005,2024-04-14,223
V0310,S004,2024-01-12,173
V0311,S002,2024-01-09,152
V0312,S003,2024-05-14,60
V0313,S003,2024-02-09,223
V0314,S007,2024-05-22,80
V0315,S001,2024-06-11,188
V0316,S006,2024-02-28,278
V0317,S001,2024-03-14,197
V0318,S008,2024-01-18,269
V0319,S007,2024-05-12,175
V0320,S003,2024-01-27,207
V0321,S003,2024-05-13,205
V0322,S007,2024-07-14,67
V0323,S002,2024-03-24,194
V0324,S002,2024-07-05,221
V0325,S007,2024-05-29,200
V0326,S004,2024-06-28,255
V0327,S009,2024-02-06,295
V0328,S009,2024-02-05,280
V0329,S009,2024-04-17,248
V0330,S003,2024-07-02,158
V0331,S001,2024-06-25,133
V0332,S004,2024-01-06,63
V0333,S002,2024-02-18,167
V0334,S009,2024-02-18,98
V0335,S003,2024-03-03,161
V0336,S001,2024-03-04,74
V0337,S004,2024-02-14,283
V0338,S004,2024-07-04,76
V0339,S005,2024-03-03,241
V0340,S001,2024-01-24,93
V0341,S008,2024-01-09,223
V0342,S007,2024-02-21,125
V0343,S008,2024-02-21,264
V0344,S007,2024-05-18,289
V0345,S008,2024-03-09,269
V0346,S007,2024-06-07,88
V0347,S009,2024-02-20,102
V0348,S005,2024-06-27,151
V0349,S004,2024-02-11,196
V0350,S004,2024-02-08,85
V0351,S002,2024-05-30,293
V0352,S002,2024-04-02,136
V0353,S007,2024-01-12,200
V0354,S001,2024-07-10,86
V0355,S006,2024-06-29,52
V0356,S009,2024-01-13,249
V0357,S004,2024-05-29,205
V0358,S004,2024-01-14,81
V0359,S001,2024-07-02,173
V0360,S004,2024-04-11,65
V0361,S001,2024-02-18,88
V0362,S005,2024-02-09,180
V0363,S004,2024-05-03,210
V0364,S005,2024-04-29,259
V0365,S003,2024-02-11,113
V0366,S008,2024-03-10,263
V0367,S010,2024-05-31,184
V0368,S001,2024-03-14,280
V0369,S003,2024-01-31,114
V0370,S004,2024-02-22,209
V0371,S009,2024-02-09,238
V0372,S005,2024-05-16,255
V0373,S003,2024-03-15,256
V0374,S005,2024-04-02,158
V0375,S009,2024-01-13,105
V0376,S002,2024-03-31,99
V0377,S008,2024-06-27,90
V0378,S010,2024-03-09,89
V0379,S008,2024-02-23,141
V0380,S004,2024-01-20,169
V0381,S006,2024-02-05,259
V0382,S008,2024-03-16,163
V0383,S004,2024-05-04,101
V0384,S007,2024-03-28,185
V0385,S010,2024-01-12,287
V0386,S005,2024-07-12,114
V0387,S004,2024-05-28,108
V0388,S002,2024-04-19,194
V0389,S001,2024-01-27,194
V0390,S001,2024-04-25,203
V0391,S002,2024-06-10,84
V0392,S001,2024-05-10,54
V0393,S003,2024-06-15,227
V0394,S003,2024-05-09,216
V0395,S008,2024-01-23,261
V0396,S007,2024-06-09,102
V0397,S010,2024-03-30,133
V0398,S007,2024-01-08,89
V0399,S010,2024-06-06,264
V0400,S006,2024-01-20,75
V0401,S001,2024-02-02,217
V0402,S001,2024-04-30,65
V0403,S005,2024-04-28,179
V0404,S008,2024-01-13,243
V0405,S001,2024-03-22,290
V0406,S010,2024-02-21,218
V0407,S009,2024-03-24,261
V0408,S003,2024-01-16,263
V0409,S008,2024-06-30,222
V0410,S007,2024-06-02,244
V0411,S006,2024-04-19,291
V0412,S008,2024-03-05,104
V0413,S006,2024-01-07,186
V0414,S004,2024-04-05,83
V0415,S003,2024-03-09,204
V0416,S010,2024-04-05,146
V0417,S002,2024-04-09,135
V0418,S002,2024-01-21,241
V0419,S007,2024-03-01,256
V0420,S003,2024-03-08,264
V0421,S010,2024-03-12,90
V0422,S006,2024-04-21,142
V0423,S005,2024-05-27,292
V0424,S005,2024-06-14,187
V0425,S010,2024-04-29,66
V0426,S010,2024-06-19,101
V0427,S010,2024-01-05,145
V0428,S003,2024-06-14,214
V0429,S006,2024-05-08,220
V0430,S005,2024-03-04,182
V0431,S009,2024-03-22,199
V0432,S005,2024-06-29,64
V0433,S007,2024-05-28,58
V0434,S009,2024-05-30,61
V0435,S002,2024-06-17,55
V0436,S003,2024-06-23,135
V0437,S010,2024-06-21,145
V0438,S003,2024-03-06,203
V0439,S007,2024-02-20,92
V0440,S008,2024-05-23,105
V0441,S005,2024-04-30,232
V0442,S006,2024-03-16,258
V0443,S004,2024-01-23,63
V0444,S002,2024-06-24,110
V0445,S009,2024-05-20,196
V0446,S009,2024-02-26,178
V0447,S008,2024-04-02,230
V0448,S002,2024-04-20,211
V0449,S001,2024-02-14,58
V0450,S009,2024-04-28,74
V0451,S007,2024-01-01,195
V0452,S003,2024-07-18,285
V0453,S004,2024-02-24,283
V0454,S003,2024-02-10,180
V0455,S009,2024-01-15,146
V0456,S007,2024-04-20,191
V0457,S009,2024-02-10,109
V0458,S006,2024-05-14,155
V0459,S005,2024-04-01,60
V0460,S005,2024-06-27,288
V0461,S008,2024-05-07,111
V0462,S007,2024-01-08,137
V0463,S005,2024-03-09,140
V0464,S007,2024-02-08,185
V0465,S009,2024-05-03,273
V0466,S007,2024-05-18,282
V0467,S004,2024-07-02,71
V0468,S006,2024-06-23,196
V0469,S004,2024-03-05,148
V0470,S001,2024-06-13,133
V0471,S010,2024-01-29,230
V0472,S009,2024-05-03,248
V0473,S009,2024-03-14,82
V0474,S003,2024-04-24,111
V0475,S007,2024-04-23,292
V0476,S002,2024-02-26,282
V0477,S007,2024-05-18,290
V0478,S005,2024-05-12,239
V0479,S002,2024-03-02,106
V0480,S010,2024-05-15,243
V0481,S010,2024-03-20,143
V0482,S001,2024-04-07,245
V0483,S002,2024-07-11,232
V0484,S002,2024-07-10,87
V0485,S008,2024-06-29,147
V0486,S010,2024-04-16,193
V0487,S009,2024-04-29,153
V0488,S005,2024-05-01,190
V0489,S010,2024-03-09,195
V0490,S005,2024-04-12,222
V0491,S007,2024-05-27,230
V0492,S005,2024-04-22,167
V0493,S006,2024-04-16,118
V0494,S007,2024-04-17,235
V0495,S010,2024-04-12,75
V0496,S005,2024-06-30,154
V0497,S008,2024-05-13,163
V0498,S008,2024-03-23,207
V0499,S001,2024-04-26,187
V0500,S001,2024-06-24,186
V0501,S001,2024-01-19,142
V0502,S010,2024-07-12,242
V0503,S003,2024-05-15,278
V0504,S002,2024-04-21,149
V0505,S001,2024-06-23,133
V0506,S002,2024-02-27,228
V0507,S009,2024-02-10,72
V0508,S008,2024-06-27,168
V0509,S008,2024-06-18,206
V0510,S005,2024-05-20,298
V0511,S006,2024-05-12,147
V0512,S003,2024-05-09,293
V0513,S003,2024-04-18,277
V0514,S004,2024-06-11,64
V0515,S006,2024-05-26,116
V0516,S002,2024-02-18,134
V0517,S004,2024-06-04,187
V0518,S005,2024-07-01,198
V0519,S004,2024-04-30,280
V0520,S010,2024-06-18,110
V0521,S003,2024-03-19,256
V0522,S002,2024-06-17,137
V0523,S010,2024-01-26,264
V0524,S010,2024-05-06,229
V0525,S007,2024-02-11,249
V0526,S002,2024-04-24,242
V0527,S001,2024-05-21,162
V0528,S006,2024-02-17,207
V0529,S010,2024-02-17,126
V0530,S008,2024-06-08,228
V0531,S007,2024-05-04,154
V0532,S001,2024-06-12,51
V0533,S007,2024-02-02,202
V0534,S005,2024-03-27,83
V0535,S007,2024-02-09,122
V0536,S006,2024-03-18,135
V0537,S005,2024-02-01,179
V0538,S010,2024-02-29,268
V0539,S001,2024-07-08,110
V0540,S008,2024-02-10,296
V0541,S010,2024-01-04,83
V0542,S006,2024-01-04,200
V0543,S009,2024-02-22,157
V0544,S010,2024-01-07,94
V0545,S007,2024-01-03,165
V0546,S006,2024-01-03,129
V0547,S009,2024-01-23,251
V0548,S010,2024-04-10,124
V0549,S007,2024-04-25,73
V0550,S002,2024-07-03,281
V0551,S005,2024-04-26,110
V0552,S010,2024-06-17,195
V0553,S001,2024-05-28,110
V0554,S010,2024-06-11,218
V0555,S005,2024-01-29,112
V0556,S004,2024-04-20,189
V0557,S001,2024-06-08,183
V0558,S010,2024-02-10,159
V0559,S009,2024-04-09,124
V0560,S010,2024-03-18,276
V0561,S007,2024-07-16,115
V0562,S002,2024-06-01,269
V0563,S007,2024-01-11,248
V0564,S006,2024-02-04,126
V0565,S003,2024-06-04,100
V0566,S009,2024-05-11,252
V0567,S005,2024-04-21,249
V0568,S001,2024-06-18,120
V0569,S001,2024-04-09,94
V0570,S010,2024-04-11,171
V0571,S007,2024-05-28,157
V0572,S010,2024-04-14,97
V0573,S006,2024-05-28,229
V0574,S009,2024-01-15,110
V0575,S009,2024-06-16,74
V0576,S010,2024-01-26,132
V0577,S005,2024-04-09,104
V0578,S003,2024-03-18,222
V0579,S007,2024-01-07,284
V0580,S007,2024-03-08,239
V0581,S003,2024-03-22,214
V0582,S002,2024-07-01,112
V0583,S006,2024-06-29,230
V0584,S005,2024-04-27,68
V0585,S002,2024-07-03,161
V0586,S009,2024-01-16,122
V0587,S001,2024-03-25,221
V0588,S007,2024-01-06,235
V0589,S009,2024-01-28,174
V0590,S010,2024-06-06,148
V0591,S009,2024-06-12,98
V0592,S006,2024-03-06,281
V0593,S003,2024-02-19,189
V0594,S003,2024-07-10,187
V0595,S007,2024-04-03,101
V0596,S007,2024-04-20,208
V0597,S001,2024-05-09,93
V0598,S007,2024-05-24,149
V0599,S008,2024-03-31,150
V0600,S001,2024-06-17,86
V0601,S002,2024-02-29,245
V0602,S008,2024-05-09,147
V0603,S008,2024-05-14,246
V0604,S004,2024-03-24,65
V0605,S002,2024-03-14,226
V0606,S002,2024-04-09,269
V0607,S009,2024-02-24,77
V0608,S002,2024-06-28,89
V0609,S007,2024-01-20,97
V0610,S008,2024-03-03,67
V0611,S005,2024-02-20,144
V0612,S002,2024-05-27,71
V0613,S003,2024-02-02,86
V0614,S008,2024-06-04,209
V0615,S005,2024-02-20,123
V0616,S009,2024-07-03,275
V0617,S010,2024-01-12,202
V0618,S001,2024-03-13,207
V0619,S007,2024-02-29,148
V0620,S007,2024-02-01,124
V0621,S009,2024-01-18,229
V0622,S009,2024-02-22,53
V0623,S008,2024-04-24,283
V0624,S005,2024-04-07,139
V0625,S004,2024-03-14,271
V0626,S001,2024-05-20,212
V0627,S002,2024-05-26,108
V0628,S010,2024-02-21,187
V0629,S004,2024-01-07,184
V0630,S010,2024-05-29,132
V0631,S003,2024-04-15,264
V0632,S001,2024-04-10,67
V0633,S002,2024-04-17,60
V0634,S005,2024-03-01,148
V0635,S006,2024-05-06,130
V0636,S007,2024-06-21,233
V0637,S006,2024-02-24,107
V0638,S007,2024-05-16,185
V0639,S002,2024-04-25,192
V0640,S005,2024-03-07,207
V0641,S003,2024-04-01,136
V0642,S004,2024-06-13,133
V0643,S003,2024-02-26,239
V0644,S005,2024-05-20,111
V0645,S001,2024-02-10,293
V0646,S007,2024-03-23,190
V0647,S003,2024-07-11,129
V0648,S008,2024-01-01,259
V0649,S004,2024-05-03,244
V0650,S005,2024-03-18,239
V0651,S004,2024-03-29,181
V0652,S006,2024-06-11,193
V0653,S008,2024-03-19,101
V0654,S009,2024-05-31,225
V0655,S004,2024-05-14,105
V0656,S003,2024-01-11,260
V0657,S002,2024-05-16,209
V0658,S010,2024-01-21,275
V0659,S002,2024-03-29,296
V0660,S005,2024-04-18,190
V0661,S006,2024-04-25,78
V0662,S001,2024-07-05,122
V0663,S003,2024-05-28,162
V0664,S004,2024-04-26,230
V0665,S001,2024-04-30,82
V0666,S009,2024-06-22,247
V0667,S007,2024-06-02,291
V0668,S001,2024-01-17,83
V0669,S006,2024-01-14,83
V0670,S004,2024-04-11,220
V0671,S008,2024-03-15,75
V0672,S005,2024-05-03,83
V0673,S008,2024-03-27,60
V0674,S004,2024-02-22,73
V0675,S001,2024-02-13,67
V0676,S010,2024-06-03,73
V0677,S003,2024-06-05,95
V0678,S004,2024-01-31,149
V0679,S008,2024-02-17,198
V0680,S004,2024-06-26,260
V0681,S005,2024-02-07,295
V0682,S010,2024-02-21,152
V0683,S008,2024-01-16,281
V0684,S004,2024-06-21,69
V0685,S008,2024-05-11,205
V0686,S005,2024-01-14,200
V0687,S002,2024-04-08,59
V0688,S007,2024-05-25,187
V0689,S007,2024-07-06,267
V0690,S001,2024-07-07,112
V0691,S010,2024-02-21,79
V0692,S001,2024-06-29,168
V0693,S007,2024-01-15,296
V0694,S009,2024-07-05,281
V0695,S009,2024-01-29,193
V0696,S006,2024-06-02,202
V0697,S009,2024-02-16,158
V0698,S007,2024-02-15,226
V0699,S006,2024-03-16,73
V0700,S006,2024-01-13,157
V0701,S004,2024-06-01,171
V0702,S009,2024-04-21,64
V0703,S005,2024-02-08,209
V0704,S010,2024-02-01,201
V0705,S004,2024-06-22,81
V0706,S006,2024-04-19,135
V0707,S009,2024-05-27,255
V0708,S005,2024-02-06,175
V0709,S001,2024-06-08,78
V0710,S002,2024-04-05,171
V0711,S004,2024-01-21,107
V0712,S005,2024-05-20,254
V0713,S009,2024-04-09,190
V0714,S009,2024-02-18,276
V0715,S004,2024-04-07,127
V0716,S002,2024-02-07,52
V0717,S001,2024-02-27,75
V0718,S004,2024-04-13,177
V0719,S001,2024-03-23,66
V0720,S001,2024-01-27,173
V0721,S009,2024-05-29,51
V0722,S006,2024-03-05,274
V0723,S006,2024-06-20,245
V0724,S004,2024-02-04,226
V0725,S005,2024-02-05,263
V0726,S003,2024-06-19,197
V0727,S003,2024-02-11,137
V0728,S001,2024-04-08,114
V0729,S004,2024-02-20,71
V0730,S010,2024-06-28,147
V0731,S006,2024-03-15,172
V0732,S002,2024-05-27,283
V0733,S004,2024-04-13,291
V0734,S008,2024-03-21,201
V0735,S006,2024-07-10,95
V0736,S004,2024-02-04,196
V0737,S005,2024-02-18,101
V0738,S001,2024-06-26,121
V0739,S008,2024-04-28,245
V0740,S008,2024-05-29,130
V0741,S007,2024-04-28,205
V0742,S008,2024-04-21,222
V0743,S002,2024-03-02,192
V0744,S007,2024-02-13,126
V0745,S010,2024-07-02,192
V0746,S007,2024-01-05,277
V0747,S004,2024-04-14,117
V0748,S010,2024-03-16,278
V0749,S004,2024-05-31,294
V0750,S006,2024-05-27,57
V0751,S002,2024-03-09,283
V0752,S009,2024-03-31,288
V0753,S004,2024-07-03,228
V0754,S001,2024-05-31,179
V0755,S001,2024-04-16,188
V0756,S001,2024-05-30,275
V0757,S010,2024-01-12,134
V0758,S002,2024-06-06,60
V0759,S005,2024-07-08,186
V0760,S003,2024-04-19,296
V0761,S009,2024-03-24,280
V0762,S001,2024-03-04,272
V0763,S003,2024-04-16,254
V0764,S003,2024-05-11,119
V0765,S006,2024-05-09,255
V0766,S004,2024-03-15,171
V0767,S005,2024-06-10,262
V0768,S002,2024-03-21,55
V0769,S010,2024-01-23,164
V0770,S002,2024-05-10,283
V0771,S006,2024-03-09,74
V0772,S009,2024-05-21,83
V0773,S003,2024-02-29,232
V0774,S008,2024-01-11,165
V0775,S009,2024-05-11,88
V0776,S001,2024-03-31,119
V0777,S007,2024-07-13,106
V0778,S003,2024-03-17,241
V0779,S002,2024-04-24,204
V0780,S010,2024-05-17,120
V0781,S004,2024-06-05,227
V0782,S005,2024-06-05,279
V0783,S009,2024-02-15,288
V0784,S008,2024-02-02,78
V0785,S004,2024-04-03,121
V0786,S001,2024-04-30,50
V0787,S010,2024-02-16,176
V0788,S008,2024-02-18,119
V0789,S005,2024-03-16,91
V0790,S003,2024-03-24,142
V0791,S007,2024-06-02,129
V0792,S002,2024-02-13,217
V0793,S009,2024-03-14,88
V0794,S009,2024-06-25,95
V0795,S002,2024-06-14,214
V0796,S006,2024-04-25,292
V0797,S002,2024-06-30,252
V0798,S002,2024-01-07,233
V0799,S009,2024-04-08,94
V0800,S004,2024-06-21,107
V0801,S001,2024-01-02,196
V0802,S006,2024-05-14,295
V0803,S008,2024-03-15,157
V0804,S010,2024-05-16,246
V0805,S006,2024-05-25,186
V0806,S010,2024-03-11,253
V0807,S010,2024-03-05,140
V0808,S004,2024-04-10,94
V0809,S005,2024-01-08,84
V0810,S001,2024-05-26,200
V0811,S008,2024-05-07,236
V0812,S003,2024-02-26,162
V0813,S004,2024-04-26,115
V0814,S008,2024-02-14,69
V0815,S004,2024-03-26,273
V0816,S009,2024-04-11,286
V0817,S008,2024-03-01,291
V0818,S009,2024-03-26,128
V0819,S009,2024-06-16,292
V0820,S009,2024-06-23,124
V0821,S005,2024-06-22,116
V0822,S010,2024-07-12,120
V0823,S003,2024-05-20,117
V0824,S001,2024-04-05,147
V0825,S003,2024-01-21,149
V0826,S001,2024-07-11,56
V0827,S010,2024-04-14,185
V0828,S010,2024-03-11,155
V0829,S003,2024-06-09,217
V0830,S007,2024-01-17,139
V0831,S005,2024-01-15,264
V0832,S010,2024-04-28,165
V0833,S007,2024-05-12,128
V0834,S004,2024-05-05,171
V0835,S009,2024-05-23,220
V0836,S010,2024-03-20,252
V0837,S004,2024-06-25,289
V0838,S006,2024-03-11,201
V0839,S007,2024-05-06,151
V0840,S004,2024-01-28,187
V0841,S008,2024-06-22,255
V0842,S009,2024-01-11,233
V0843,S003,2024-04-20,187
V0844,S003,2024-03-28,235
V0845,S010,2024-04-28,99
V0846,S001,2024-02-10,168
V0847,S004,2024-07-08,150
V0848,S008,2024-03-26,114
V0849,S003,2024-04-20,66
V0850,S006,2024-06-26,106
V0851,S009,2024-01-11,258
V0852,S008,2024-05-27,220
V0853,S001,2024-06-15,151
V0854,S002,2024-04-19,224
V0855,S003,2024-07-11,136
V0856,S004,2024-03-04,77
V0857,S006,2024-07-02,142
V0858,S010,2024-01-22,233
V0859,S001,2024-05-23,86
V0860,S007,2024-03-20,232
V0861,S005,2024-05-02,288
V0862,S002,2024-03-09,101
V0863,S003,2024-06-01,57
V0864,S002,2024-02-04,255
V0865,S003,2024-01-07,263
V0866,S001,2024-03-10,284
V0867,S006,2024-06-12,183
V0868,S003,2024-05-06,268
V0869,S004,2024-05-07,175
V0870,S007,2024-02-26,70
V0871,S008,2024-05-23,127
